Sr. No, Item,Price,Shipping Price
132,ASUS ROG Swift PG258Q Black 24.5" 1ms (GTG) 240 Hz NVIDIA G-Sync Frameless Gaming Monitor  400 cd/m2 1 000:1  VESA Mountable  Height  Tilt  Swivel and Pivot Adjustable  HDMI  USB 3.0,$599.99 ,Free Shipping
133,Acer V246HLbd Black 24" 5ms Widescreen LED Backlight LCD Monitor,$129.99 ,Free Shipping
134,ASUS VZ279H Frameless 27" 5ms (GTG) IPS Widescreen LCD/LED Monitors  HDMI 1920 x 1080 Ultra-Slim Design  w/ Eye Care Feature and Flicker Free Technology  178/178 Viewing Angle and Built-in Speakers,$209.99 ,Free Shipping
135,LG 27UD58P-B IPS 4K UHD Free-Sync Gaming Monitor  3840 x 2160  5ms Response Time  1000:1 Contrast Ratio  DisplayPort  HDMI  Tilt / Height Adjustable  VESA Compatible,$399.99 ,Free Shipping
136,Samsung C24FG70 24" Black LED LCD HD FreeSync Curved Monitor  1920 x 1080  3000:1 Contract Ratio  250 cd/m2  178/178 Viewing Angles  DisplayPort  HDMI & VGA,$279.99 ,$0.99 Shipping
137,LG 24MP59G 23.8" Full HD Black IPS FreeSync Gaming Monitor  1920 x 1080  16:9 Aspect Ratio  75 Hz Refresh Rate  5ms GTG / 1ms MBR Response Time  On-screen Control  4 Screen Split  HDMI  DP  D-Sub,$169.99 ,Free Shipping
138,HP 22UH Black 21.5" TN 5ms LCD/LED Monitor  250 cd/m2 DCR 10 000 000:1 (1000:1)  HDMI DVI VGA,$99.99 (,Free Shipping
139,BenQ XR3501 Black 35" 144 Hz 4ms (GTG)  21:9 Ultra Wide Curve 2560 x 1080 LED Backlight Gaming Professional Monitor  2000:1  3 Exclusive Game Modes,$579.99 ,Free Shipping
140,LG 32MP58HQ-W White 31.5" FHD IPS Widescreen LED Backlight Monitor 5ms 1920 x 1080 at 60 Hz  On Screen Control w/ Screen Split& Anti-Glare with 3H Hardness HDMI/D-Sub 250 cd/m2 1000:1,$209.99 ,Free Shipping
141,Acer G7 Series G247HYL bmidx Black 23.8" IPS 4ms (GTG) Black Widescreen LED/LCD Monitor 1920 x 1080 FHD  Slim Frame Design  w/ Acer Flicker Less Technology  Visual Comfortable  and Build in Speakers,$169.99 ,Free Shipping
142,Acer KG Series KG251Q Frameless 24.5" 1ms (GTG) AMD FreeSync Widescreen LCD/LED Gaming Monitor  HDMI 1920 x 1080  at 75 Hz Refresh Rate w/ Signal Inputs  and AcerVisionCare Feature,$169.99 ,Free Shipping
143,Sceptre C325W-1920R 32" 5ms Ultra Slim Curved Monitor  220 cd/m2 DCR 12 000:1  VESA Mountable  Viewing Angle 178/178  HDMI  Displayport  VGA,$229.99 ,$4.99 Shipping
144,Acer Predator XB241YU 23.8" 144 Hz TN WQHD Black/Red LED Gaming Monitor  2560 x 1440 (2K) 1ms Response Time  HDMI/DisplayPort  Tilt/Swivel/Height Adjustable,$499.99 ,$1.99 Shipping
145,LG 27MP59G 27" Full HD Black IPS FreeSync Gaming Monitor  1920 x 1080  16:9 Aspect Ratio  75 Hz Refresh Rate  5ms GTG / 1ms MBR Response Time  On-screen Control  4 Screen Split  HDMI  DP  D-Sub,$229.99 ,Free Shipping
